id,name,category,quantity,price
769,Headphones 82,Furniture,277,547
770,Tablet 86,Furniture,226,1140
771,Laptop 70,Furniture,314,864
772,Chair 1,Furniture,212,78
773,Phone 63,Electronics,247,1547
774,Phone 93,Furniture,431,1150
775,Mouse 13,Electronics,95,1681
776,Keyboard 21,Accessories,414,1979
777,Tablet 76,Electronics,359,913
778,Printer 62,Furniture,162,1119
779,Monitor 12,Electronics,249,261
780,Chair 95,Furniture,174,1280
781,Chair 73,Furniture,94,1961
782,Mouse 91,Furniture,209,1306
783,Chair 42,Furniture,407,486
784,Mouse 27,Furniture,112,886
785,Keyboard 55,Accessories,342,884
786,Laptop 75,Furniture,41,601
787,Headphones 79,Furniture,394,738
788,Tablet 42,Accessories,103,608
789,Printer 77,Electronics,160,485
790,Desk 66,Furniture,420,1460
791,Phone 17,Electronics,395,38
792,Chair 80,Electronics,299,1388
793,Monitor 100,Electronics,488,1061
794,Chair 22,Electronics,190,1326
795,Chair 69,Accessories,416,1185
796,Chair 53,Accessories,445,625
797,Headphones 14,Accessories,281,35
798,Keyboard 64,Accessories,300,19
799,Desk 90,Furniture,315,555
800,Printer 15,Electronics,210,297
801,Phone 18,Electronics,109,380
802,Printer 88,Accessories,280,258
803,Mouse 80,Electronics,42,1304
804,Phone 26,Electronics,452,641
805,Headphones 91,Furniture,380,1146
806,Desk 68,Electronics,143,1674
807,Headphones 87,Electronics,39,1446
808,Mouse 43,Furniture,103,1132
809,Phone 52,Accessories,471,1583
810,Keyboard 75,Furniture,305,1169
811,Chair 10,Electronics,90,1498
812,Headphones 30,Accessories,152,516
813,Headphones 42,Furniture,377,1996
814,Laptop 59,Furniture,366,704
815,Printer 4,Accessories,109,1528
816,Headphones 23,Electronics,126,1215
817,Laptop 2,Furniture,352,1296
818,Phone 34,Accessories,341,302
819,Tablet 59,Furniture,162,55
820,Tablet 55,Electronics,40,419
821,Headphones 40,Electronics,69,1758
822,Mouse 86,Furniture,227,1423
823,Phone 24,Electronics,348,1456
824,Tablet 59,Furniture,109,45
825,Tablet 1,Electronics,258,1690
826,Chair 56,Furniture,127,1406
827,Chair 64,Furniture,115,863
828,Mouse 44,Furniture,132,1109
829,Headphones 70,Accessories,454,240
830,Mouse 60,Accessories,310,1545
831,Chair 94,Electronics,131,1568
832,Mouse 31,Electronics,404,1232
833,Desk 4,Electronics,87,1903
834,Desk 3,Furniture,282,943
835,Desk 62,Accessories,336,1903
836,Keyboard 31,Accessories,32,246
837,Headphones 40,Accessories,430,1279
838,Headphones 42,Furniture,137,1011
839,Keyboard 24,Furniture,467,238
840,Chair 91,Accessories,407,392
841,Printer 5,Furniture,420,320
842,Tablet 61,Accessories,200,1220
843,Mouse 36,Furniture,483,582
844,Printer 77,Accessories,431,627
845,Headphones 21,Electronics,33,154
846,Monitor 86,Furniture,412,321
847,Keyboard 41,Accessories,464,461
848,Tablet 17,Electronics,403,1850
849,Mouse 55,Accessories,36,251
850,Mouse 57,Furniture,258,946
851,Headphones 95,Furniture,36,605
852,Laptop 29,Accessories,168,1302
853,Desk 51,Furniture,392,1895
854,Mouse 64,Electronics,427,245
855,Tablet 80,Electronics,72,785
856,Tablet 72,Electronics,203,442
857,Printer 4,Furniture,406,914
858,Printer 4,Furniture,239,738
859,Printer 50,Accessories,258,538
860,Tablet 100,Furniture,73,785
861,Laptop 87,Furniture,251,1354
862,Mouse 72,Accessories,229,1123
863,Chair 42,Furniture,204,255
864,Laptop 82,Furniture,85,1782
865,Headphones 62,Accessories,408,840
866,Headphones 28,Electronics,450,1446
867,Tablet 2,Furniture,427,1060
868,Phone 4,Electronics,238,425
869,Printer 57,Accessories,204,1384
870,Tablet 84,Furniture,141,1394
871,Phone 73,Electronics,9,142
872,Desk 95,Accessories,419,808
873,Printer 25,Accessories,53,1682
874,Desk 53,Furniture,347,541
875,Monitor 58,Electronics,117,61
876,Keyboard 71,Electronics,78,176
877,Printer 32,Electronics,377,1478
878,Chair 80,Furniture,489,1238
879,Phone 97,Furniture,116,673
880,Monitor 60,Furniture,162,1669
881,Monitor 46,Accessories,235,50
882,Phone 4,Furniture,74,745
883,Phone 5,Furniture,85,203
884,Phone 24,Accessories,116,264
885,Keyboard 30,Electronics,429,39
886,Headphones 25,Electronics,464,891
887,Keyboard 55,Furniture,104,1255
888,Mouse 34,Electronics,347,1277
889,Tablet 73,Electronics,165,1138
890,Desk 86,Furniture,35,1179
891,Mouse 62,Electronics,412,808
892,Laptop 28,Electronics,67,300
893,Mouse 94,Accessories,260,1961
894,Tablet 12,Electronics,19,1557
895,Laptop 84,Electronics,384,254
896,Laptop 21,Furniture,279,1927
897,Headphones 2,Electronics,124,1930
898,Keyboard 18,Accessories,168,1537
899,Laptop 48,Accessories,159,688
900,Printer 62,Electronics,457,1000
901,Keyboard 28,Accessories,96,1264
902,Laptop 13,Accessories,488,465
903,Monitor 58,Accessories,108,1070
904,Mouse 4,Accessories,422,522
905,Monitor 91,Furniture,81,605
906,Headphones 4,Furniture,495,415
907,Phone 67,Furniture,83,1700
908,Phone 55,Accessories,381,54
909,Desk 13,Electronics,63,322
910,Headphones 40,Furniture,5,166
911,Printer 76,Accessories,168,582
912,Printer 42,Furniture,85,1168
913,Desk 45,Electronics,118,812
914,Desk 35,Electronics,77,662
915,Printer 82,Electronics,355,1798
916,Tablet 76,Accessories,440,867
917,Desk 11,Furniture,238,1358
918,Phone 41,Electronics,118,1701
919,Headphones 6,Accessories,387,1129
920,Keyboard 52,Electronics,376,1521
921,Phone 93,Furniture,350,1890
922,Desk 25,Accessories,161,21
923,Desk 45,Accessories,271,519
924,Desk 2,Furniture,64,297
925,Monitor 74,Accessories,74,769
926,Laptop 100,Furniture,333,1948
927,Printer 73,Furniture,450,1442
928,Headphones 61,Furniture,234,20
929,Monitor 63,Furniture,336,789
930,Chair 78,Accessories,367,1879
931,Printer 14,Furniture,111,984
932,Headphones 74,Electronics,452,715
933,Tablet 95,Furniture,456,911
934,Keyboard 54,Furniture,270,1497
935,Printer 85,Electronics,258,1455
936,Laptop 33,Furniture,357,547
937,Printer 50,Electronics,323,997
938,Mouse 9,Furniture,379,1596
939,Laptop 83,Accessories,455,1977
940,Laptop 59,Accessories,478,347
941,Chair 68,Furniture,53,1558
942,Printer 76,Furniture,407,1661
943,Desk 47,Electronics,96,998
944,Tablet 47,Furniture,132,1792
945,Laptop 85,Electronics,51,526
946,Printer 51,Accessories,329,1966
947,Headphones 19,Electronics,466,724
948,Printer 20,Electronics,182,792
949,Monitor 24,Electronics,188,1462
950,Phone 73,Furniture,84,1966
951,Keyboard 41,Electronics,417,301
952,Chair 52,Accessories,7,597
953,Tablet 77,Furniture,485,1471
954,Desk 30,Accessories,280,508
955,Phone 14,Accessories,296,1408
956,Phone 79,Electronics,296,1494
957,Mouse 67,Electronics,151,71
958,Tablet 19,Furniture,47,1950
959,Headphones 17,Electronics,316,1164
960,Tablet 79,Accessories,412,1671
961,Desk 6,Electronics,443,1392
962,Phone 36,Accessories,173,1147
963,Laptop 41,Accessories,415,1829
964,Tablet 25,Furniture,439,718
965,Desk 86,Accessories,78,473
966,Printer 80,Furniture,429,1854
967,Monitor 35,Electronics,91,918
968,Keyboard 92,Accessories,315,1080
969,Keyboard 72,Furniture,334,1541
970,Tablet 33,Electronics,107,693
971,Tablet 99,Furniture,355,1541
972,Tablet 100,Accessories,327,393
973,Tablet 28,Furniture,147,961
974,Keyboard 87,Accessories,454,1106
975,Tablet 9,Furniture,152,1053
976,Keyboard 51,Electronics,227,1437
977,Laptop 86,Accessories,198,1129
978,Headphones 57,Furniture,90,1383
979,Laptop 50,Accessories,222,1464
980,Headphones 68,Electronics,464,1203
981,Phone 4,Accessories,172,1685
982,Keyboard 3,Electronics,432,1622
983,Printer 90,Furniture,261,1146
984,Laptop 99,Accessories,254,1027
985,Printer 92,Accessories,482,1908
986,Chair 50,Accessories,330,997
987,Headphones 2,Furniture,325,1829
988,Printer 25,Furniture,74,1876
989,Monitor 58,Furniture,448,1507
990,Mouse 1,Furniture,308,957
991,Headphones 17,Electronics,440,1035
992,Headphones 97,Furniture,229,51
993,Phone 89,Furniture,36,238
994,Chair 1,Electronics,25,60
995,Headphones 33,Accessories,284,793
996,Mouse 4,Furniture,439,533
997,Printer 59,Furniture,469,992
998,Headphones 99,Electronics,274,1763
999,Phone 54,Furniture,41,1984
1000,Tablet 66,Accessories,223,1339
